country,population_x,ranking,world_share,year,biofuel_share_elec,biofuel_elec_per_capita,coal_share_elec,coal_elec_per_capita,electricity_generation,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_electricity,other_renewable_exc_biofuel_electricity,renewables_electricity,solar_electricity,wind_electricity,fossil_cons_per_capita,fossil_share_elec,gas_share_elec,gas_elec_per_capita,hydro_share_elec,hydro_elec_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,nuclear_share_elec,nuclear_elec_per_capita,oil_share_elec,oil_elec_per_capita,other_renewables_elec_per_capita,other_renewables_share_elec,per_capita_electricity,renewables_elec_per_capita,renewables_share_elec,solar_share_elec,solar_elec_per_capita,wind_share_elec,wind_elec_per_capita
China,1439323776,1,18.46415423781907,2020,1.7,90.07,60.748,3217.632,7623.696,129.64,4631.215,5044.957,253.425,1355.2,366.2,160.317,129.74,0.1,2212.54,261.1,466.5,3505.088,66.175,3.324,176.072,17.776,941.553,33.825,2578.74,1791.633,4.803,254.425,2.103,111.384,90.139,1.702,5296.721,1537.208,29.022,3.425,181.405,6.119,324.111
India,1380004385,2,17.703184119086387,2020,1.071,10.415,70.563,686.181,1341.967,14.373,946.932,999.177,52.112,163.514,44.548,0.133,15.584,1.211,298.242,58.729,60.415,724.039,74.456,3.883,37.762,12.185,118.488,25.544,342.79,248.398,3.32,32.281,0.01,0.096,11.293,1.161,972.437,216.116,22.224,4.376,42.557,4.502,43.779
United States,331002651,3,4.246219025281353,2020,1.384,169.348,19.107,2337.762,4049.847,56.055,773.806,2431.99,1629.237,285.79,789.919,28.947,72.985,16.93,827.938,132.63,336.533,7347.342,60.051,40.23,4922.126,7.057,863.406,39.949,1617.857,4887.746,19.505,2386.442,0.715,87.453,220.496,1.802,12235.088,2501.304,20.444,3.275,400.693,8.31,1016.709
Pakistan,220892340,5,2.833685028845637,2020,1.84,12.113,20.157,132.732,145.452,2.676,29.319,81.35,17.517,47.296,9.909,34.514,2.676,0.0,54.193,1.03,3.191,368.281,55.929,12.043,79.303,32.517,214.114,44.071,64.102,290.195,6.813,44.859,23.728,156.246,12.113,1.84,658.476,245.336,37.258,0.708,4.664,2.194,14.444
Brazil,212559417,6,2.7267873466914097,2020,9.037,257.535,3.598,102.532,605.727,54.742,21.794,82.366,52.24,391.199,13.15,8.332,54.742,0.0,510.211,7.593,56.678,387.495,13.598,8.624,245.766,64.583,1840.42,86.402,523.361,2462.187,2.171,61.864,1.375,39.197,257.535,9.037,2849.682,2400.323,84.231,1.254,35.723,9.357,266.644
Nigeria,206139589,7,2.64443152352722,2020,0.07,0.129,0.0,0.0,38.019,0.027,0.0,30.807,30.807,7.152,0.0,0.0,0.027,0.0,7.211,0.03,0.003,149.448,81.032,81.032,149.448,18.811,34.694,18.968,7.211,34.983,0.0,0.0,0.0,0.0,0.129,0.07,184.431,34.983,18.968,0.079,0.146,0.008,0.015
Bangladesh,164689383,8,2.112693627207377,2020,0.004,0.018,5.501,26.86,80.408,0.003,4.424,79.285,56.552,0.698,0.0,18.309,0.003,0.0,1.124,0.417,0.006,481.418,98.603,70.331,343.386,0.868,4.236,1.397,1.124,6.823,0.0,0.0,22.77,111.172,0.018,0.004,488.241,6.823,1.397,0.519,2.533,0.007,0.036
Russia,145934462,9,1.872098870255268,2020,0.323,22.702,15.117,1062.123,1025.324,3.313,155.0,606.588,442.023,209.545,202.443,9.565,3.73,0.417,216.292,1.675,1.343,4156.581,59.161,43.111,3028.915,20.437,1435.884,40.839,418.735,2869.339,19.744,1387.219,0.933,65.542,25.559,0.364,7025.92,1482.12,21.095,0.163,11.475,0.131,9.202
Mexico,128932753,10,1.6539949366462974,2020,0.96,22.548,4.162,97.759,302.871,2.907,12.604,227.827,181.157,26.557,11.335,34.066,7.533,4.626,63.708,10.349,19.269,1767.024,75.223,59.813,1405.052,8.769,205.979,24.777,75.044,582.037,3.743,87.917,11.248,264.213,58.424,2.487,2349.061,494.12,21.035,3.417,80.267,6.362,149.45
Japan,126476461,11,1.6224847545056522,2020,4.89,364.154,29.09,2166.144,941.776,46.057,273.966,651.152,294.554,84.946,43.026,82.632,67.576,21.519,247.598,84.451,10.625,5148.403,69.141,31.276,2328.922,9.02,671.634,30.859,290.624,2297.85,4.569,340.192,8.774,653.337,534.296,7.175,7446.253,1957.658,26.291,8.967,667.723,1.128,84.004
Philippines,109581078,13,1.4057448084137547,2020,0.51,4.572,50.017,448.648,98.293,0.501,49.163,76.808,16.915,7.702,0.0,10.729,11.438,10.937,21.484,1.34,1.004,700.926,78.142,17.209,154.364,7.836,70.286,21.858,21.484,196.06,0.0,0.0,10.916,97.913,104.378,11.636,896.985,196.06,21.858,1.364,12.232,1.022,9.164
Vietnam,97338579,15,1.2486937031922805,2020,0.047,1.294,52.943,1453.215,267.18,0.126,141.454,184.391,41.828,68.215,0.0,1.109,0.126,0.0,82.789,13.475,0.973,1894.324,69.014,15.655,429.712,25.532,700.805,30.986,82.789,850.526,0.0,0.0,0.415,11.397,1.294,0.047,2744.85,850.526,30.986,5.043,138.432,0.364,9.994
Turkey,84339067,17,1.0819313675825477,2020,1.437,49.797,33.855,1172.829,292.171,4.2,98.915,166.211,66.717,77.224,0.0,0.578,13.708,9.509,125.96,10.709,24.318,1970.744,56.888,22.835,791.055,26.431,915.643,43.112,125.96,1493.498,0.0,0.0,0.198,6.859,162.54,4.692,3464.242,1493.498,43.112,3.665,126.978,8.323,288.337
Iran,83992949,18,1.077491243516616,2020,0.007,0.286,0.178,7.114,335.984,0.024,0.597,307.5,213.159,21.952,5.866,93.744,0.024,0.0,22.618,0.244,0.398,3661.026,91.522,63.443,2537.825,6.534,261.355,8.478,28.484,339.124,1.746,69.839,27.901,1116.088,0.286,0.007,4000.15,269.285,6.732,0.073,2.905,0.118,4.738
Germany,83783942,19,1.0748100278310746,2020,8.867,600.354,23.656,1601.739,567.3,50.3,134.2,248.3,91.6,18.7,64.3,22.5,50.5,0.2,254.7,51.0,134.5,2963.575,43.769,16.147,1093.288,3.296,223.193,56.231,319.0,3807.412,11.334,767.45,3.966,268.548,602.741,8.902,6770.987,3039.962,44.897,8.99,608.709,23.709,1605.319
Thailand,69799978,20,0.895418793935339,2020,10.613,263.778,19.987,496.743,173.477,18.412,34.673,142.257,106.874,4.6,0.0,0.71,18.412,0.0,31.22,4.885,3.324,2038.061,82.003,61.607,1531.152,2.651,65.896,17.997,31.22,447.281,0.0,0.0,0.409,10.165,263.778,10.613,2485.342,447.281,17.997,2.816,69.986,1.916,47.622
United Kingdom,67886011,21,0.8708657486210261,2020,11.611,522.467,1.741,78.347,305.476,35.468,5.319,124.456,111.653,6.596,51.817,7.485,35.477,0.009,129.203,13.354,73.776,1833.308,40.742,36.55,1644.709,2.159,97.166,59.258,181.021,2666.537,16.963,763.301,2.45,110.252,522.604,11.614,4499.845,1903.236,42.296,4.371,196.709,24.151,1086.757
France,65273511,22,0.8373516750326924,2020,1.547,125.272,0.809,65.501,528.512,8.177,4.275,50.047,34.246,62.065,355.191,11.526,8.787,0.61,123.274,13.19,39.232,766.734,9.469,6.48,524.647,11.743,950.844,90.531,478.464,7330.145,67.206,5441.576,2.181,176.586,134.612,1.663,8096.879,1888.569,23.325,2.496,202.074,7.423,601.039
Italy,60461826,23,0.7756256787938861,2020,6.965,317.184,5.435,247.505,275.335,19.178,14.965,156.481,125.632,48.079,0.0,15.884,25.228,6.05,118.854,26.604,18.943,2588.101,56.833,45.629,2077.881,17.462,795.192,43.167,118.854,1965.763,0.0,0.0,5.769,262.715,417.247,9.162,4553.864,1965.763,43.167,9.663,440.02,6.88,313.304
South Africa,59308690,25,0.7608328425215964,2020,0.199,7.469,85.505,3213.863,222.923,0.443,190.61,197.462,1.723,1.161,11.532,5.129,0.449,0.006,13.929,5.693,6.625,3329.398,88.579,0.773,29.056,0.521,19.581,11.421,25.461,429.294,5.173,194.437,2.301,86.479,7.578,0.202,3758.691,234.856,6.248,2.554,95.991,2.972,111.707
South Korea,51269185,28,0.6576992302024475,2020,0.333,34.826,35.746,3738.416,536.193,1.786,191.666,352.706,142.493,3.982,153.139,18.547,5.75,3.965,30.349,17.674,2.942,6879.485,65.78,26.575,2779.307,0.743,77.676,34.22,183.488,3578.912,28.56,2986.958,3.459,361.762,112.156,1.072,10458.397,591.954,5.66,3.296,344.734,0.549,57.388
Colombia,50882891,29,0.6527437142052296,2020,1.806,26.355,10.637,155.236,74.257,1.341,7.899,23.332,14.616,49.387,0.0,0.817,1.341,0.0,50.926,0.191,0.007,458.541,31.42,19.683,287.245,66.508,970.602,68.58,50.926,1000.84,0.0,0.0,1.101,16.061,26.355,1.806,1459.38,1000.84,68.58,0.257,3.749,0.009,0.133
Spain,46754778,30,0.5997868212433322,2020,2.576,145.281,2.387,134.659,263.735,6.793,6.296,90.802,68.603,31.905,58.307,15.903,6.819,0.026,114.625,20.755,55.147,1942.096,34.429,26.012,1467.3,12.097,682.384,65.571,172.932,3698.711,22.108,1247.079,6.03,340.138,145.838,2.585,5640.807,2451.631,43.462,7.87,443.918,20.91,1179.491
Argentina,45195774,32,0.5797873667818942,2020,1.401,41.895,1.07,31.988,135.149,1.893,1.446,91.627,86.69,20.854,10.01,3.492,1.893,0.0,33.511,1.344,9.42,2027.344,67.797,64.144,1918.092,15.43,461.407,32.203,43.522,962.957,7.407,221.49,2.584,77.264,41.895,1.401,2990.301,741.467,24.796,0.995,29.743,6.97,208.421
Ukraine,43733762,35,0.5610321599857117,2020,0.213,6.517,28.277,863.163,133.497,0.285,37.749,50.299,10.611,7.112,69.873,1.939,0.285,0.0,13.325,0.998,4.93,1150.122,37.678,7.948,242.624,5.328,162.63,62.322,83.198,1902.366,52.34,1597.679,1.452,44.335,6.517,0.213,3052.488,304.686,9.982,0.748,22.82,3.693,112.72
Poland,37846611,38,0.4855097056930295,2020,4.34,180.482,69.829,2903.906,157.388,6.831,109.903,130.772,16.417,2.022,0.0,4.452,6.831,0.0,26.617,2.079,15.685,3455.305,83.088,10.431,433.779,1.284,53.414,16.912,26.617,703.284,0.0,0.0,2.828,117.62,180.482,4.34,4158.59,703.284,16.912,1.321,54.945,9.966,414.443
Canada,37742154,39,0.4841696943686978,2020,1.599,266.265,7.093,1180.87,628.316,10.049,44.569,104.559,56.216,382.353,93.237,3.774,10.176,0.127,430.52,4.387,33.604,2770.338,16.641,8.947,1489.471,60.854,10130.674,83.359,523.757,13877.253,14.839,2470.373,0.601,99.997,269.631,1.62,16647.592,11406.881,68.52,0.698,116.226,5.348,890.35
Peru,32971854,43,0.4229745995405912,2020,1.123,17.666,1.187,18.681,51.884,0.582,0.616,18.302,17.686,30.404,0.0,0.0,0.582,0.0,33.582,0.783,1.812,555.069,35.274,34.087,536.389,58.601,922.133,64.726,33.582,1018.508,0.0,0.0,0.0,0.0,17.666,1.123,1573.577,1018.508,64.726,1.509,23.752,3.492,54.957
Australia,25499884,55,0.327121526840181,2020,1.369,134.987,53.75,5298.038,251.348,3.442,135.099,188.844,48.133,16.113,0.0,5.613,3.443,0.001,62.504,18.639,24.309,7405.697,75.133,19.15,1887.559,6.411,631.881,24.867,62.504,2451.133,0.0,0.0,2.233,220.101,135.027,1.37,9856.829,2451.133,24.867,7.416,730.938,9.671,953.288
Taiwan,23816775,57,0.3055300095643201,2020,1.437,159.341,44.188,4900.872,264.151,3.795,116.723,218.681,93.952,2.639,30.269,8.007,3.795,0.0,15.2,6.529,2.238,9181.822,82.787,35.567,3944.776,0.999,110.803,17.213,45.469,1909.134,11.459,1270.924,3.031,336.174,159.341,1.437,11090.957,638.21,5.754,2.472,274.114,0.847,93.952
Romania,19237691,61,0.2467879011841626,2020,1.006,29.389,16.672,487.014,56.198,0.565,9.369,20.058,9.984,15.362,11.483,0.705,0.565,0.0,24.657,1.766,6.963,1042.628,35.691,17.766,518.973,27.336,798.552,64.309,36.14,1878.601,20.434,596.919,1.254,36.641,29.389,1.006,2921.229,1281.682,43.875,3.143,91.815,12.39,361.926
Chile,19116201,63,0.2452293845142117,2020,5.521,227.66,22.209,915.809,78.829,4.352,17.507,40.477,11.26,20.484,0.0,11.71,4.598,0.246,38.352,7.466,5.803,2117.41,51.348,14.285,589.048,25.986,1071.562,48.652,38.352,2006.242,0.0,0.0,14.855,612.552,240.541,5.833,4123.652,2006.242,48.652,9.471,390.561,7.362,303.578
Kazakhstan,18776707,64,0.2408742354620403,2020,0.003,0.154,69.686,3844.841,103.597,0.003,72.193,92.173,19.224,9.403,0.0,0.756,0.003,0.0,11.425,1.077,0.941,4908.88,88.972,18.556,1023.796,9.077,500.806,11.028,11.425,608.46,0.0,0.0,0.729,40.244,0.154,0.003,5517.341,608.46,11.028,1.04,57.374,0.909,50.126
Netherlands,17134872,69,0.2198121956496377,2020,6.275,455.831,7.183,521.75,124.469,7.811,8.94,89.009,74.459,0.074,4.076,5.61,7.811,0.0,31.383,7.913,15.585,5194.622,71.511,59.821,4345.458,0.06,4.329,28.489,35.46,2069.436,3.275,237.893,4.507,327.414,455.831,6.275,7264.058,1831.543,25.214,6.358,461.834,12.521,909.548
Tunisia,11818619,79,0.1516134227286043,2020,0.0,0.0,0.0,0.0,19.447,0.0,0.0,18.708,18.708,0.065,0.0,0.0,0.0,0.0,0.739,0.174,0.5,1582.922,96.198,96.198,1582.922,0.336,5.529,3.802,0.739,62.557,0.0,0.0,0.0,0.0,0.0,0.0,1645.479,62.557,3.802,0.895,14.723,2.571,42.306
Bolivia,11673021,80,0.1497456401118333,2020,2.855,23.045,0.0,0.0,9.421,0.269,0.0,5.921,5.921,2.915,0.0,0.0,0.269,0.0,3.5,0.252,0.064,507.235,62.85,62.85,507.235,30.942,249.722,37.15,3.5,299.821,0.0,0.0,0.0,0.0,23.045,2.855,807.056,299.821,37.15,2.673,21.573,0.679,5.482
Belgium,11589623,81,0.148675781084419,2020,6.019,446.251,0.106,7.878,85.922,5.172,0.091,29.689,26.052,0.273,33.791,3.546,5.172,0.0,22.442,4.61,12.388,2561.715,34.554,30.321,2247.907,0.318,23.558,65.446,56.233,4852.016,39.327,2915.611,4.127,305.931,446.251,6.019,7413.731,1936.405,26.119,5.365,397.747,14.417,1068.85
Greece,10423054,87,0.133710621539206,2020,0.65,30.132,15.29,709.012,48.334,0.314,7.39,30.978,17.76,3.787,0.0,5.827,0.314,0.0,17.356,4.354,8.901,2972.048,64.092,36.746,1703.96,7.835,363.323,35.908,17.356,1665.129,0.0,0.0,12.056,559.076,30.132,0.65,4637.177,1665.129,35.908,9.008,417.726,18.415,853.948
Portugal,10196709,89,0.1308069878602198,2020,7.662,390.773,5.886,300.195,52.007,3.985,3.061,21.413,17.317,12.61,0.0,1.035,4.215,0.23,30.593,1.449,12.32,2100.025,41.174,33.298,1698.305,24.246,1236.629,58.826,30.593,3000.3,0.0,0.0,1.991,101.524,413.368,8.105,5100.325,3000.3,58.826,2.786,142.091,23.689,1208.212
Azerbaijan,10139177,90,0.1300689470251255,2020,0.603,15.32,0.0,0.0,25.778,0.155,0.0,23.894,12.514,1.549,0.0,11.38,0.155,0.0,1.884,0.044,0.135,2356.63,92.693,48.547,1234.265,6.01,152.808,7.307,1.884,185.783,0.0,0.0,44.146,1122.364,15.32,0.603,2542.412,185.783,7.307,0.171,4.34,0.524,13.315
Sweden,10099265,91,0.1295569417791705,2020,6.423,1058.394,0.201,33.171,166.416,10.689,0.335,3.657,0.385,74.154,50.225,2.937,10.689,0.0,112.533,0.407,27.284,362.105,2.198,0.231,38.122,44.559,7342.481,97.802,162.759,16115.888,30.181,4973.177,1.765,290.813,1058.394,6.423,16477.994,11142.712,67.622,0.245,40.3,16.395,2701.536
Hungary,9660351,94,0.123926397819381,2020,7.066,247.284,10.628,371.921,33.806,2.389,3.593,12.789,8.847,0.271,16.065,0.349,2.407,0.018,4.953,1.619,0.656,1323.832,37.829,26.169,915.788,0.801,28.046,62.171,21.018,2175.679,47.519,1662.934,1.032,36.123,249.172,7.12,3499.511,512.745,14.652,4.79,167.626,1.94,67.901
Tajikistan,9537645,95,0.1223522818715417,2020,0.0,0.0,0.0,0.0,19.906,0.0,0.0,1.417,0.0,18.489,0.0,1.417,0.0,0.0,18.489,0.0,0.0,148.525,7.116,0.0,0.0,92.884,1938.562,92.884,18.489,1938.562,0.0,0.0,7.116,148.525,0.0,0.0,2087.087,1938.562,92.884,0.0,0.0,0.0,0.0
Belarus,9449323,96,0.1212192560313623,2020,0.935,35.558,0.0,0.0,35.936,0.336,0.0,34.896,34.896,0.345,0.0,0.0,0.336,0.0,1.04,0.181,0.178,3692.962,97.107,97.107,3692.962,0.959,36.46,2.893,1.04,110.01,0.0,0.0,0.0,0.0,35.558,0.935,3802.972,110.01,2.893,0.504,19.155,0.495,18.837
Austria,9006398,97,0.1155372575455775,2020,5.854,451.722,1.031,79.572,69.492,4.068,0.717,14.407,10.441,42.883,0.0,3.25,4.069,0.0,55.085,1.265,6.868,1599.684,20.732,15.024,1159.268,61.709,4761.405,79.268,55.085,6116.197,0.0,0.0,4.677,360.844,451.749,5.855,7715.881,6116.197,79.268,1.82,140.455,9.883,762.588
Serbia,8737371,99,0.1120860840813675,2020,0.469,24.499,69.992,3654.037,35.524,0.167,24.864,24.864,0.0,9.632,0.0,0.0,0.167,0.0,10.66,0.014,0.848,3654.037,69.992,0.0,0.0,27.112,1415.446,30.008,10.66,1566.625,0.0,0.0,0.0,0.0,24.499,0.469,5220.662,1566.625,30.008,0.039,2.057,2.387,124.622
Switzerland,8654622,101,0.111024550655392,2020,4.807,381.415,0.0,0.0,68.673,3.301,0.0,0.661,0.0,37.287,23.283,0.661,3.301,0.0,44.728,3.974,0.167,76.431,0.963,0.0,0.0,54.296,4308.297,99.037,68.011,7858.361,33.905,2690.286,0.963,76.431,381.415,4.807,7934.792,5168.075,65.132,5.786,459.124,0.242,19.24
Bulgaria,6948445,107,0.0891371089203786,2020,3.695,214.42,33.498,1944.145,40.327,1.49,13.509,16.194,2.242,2.965,16.636,0.443,1.49,0.0,7.497,1.567,1.475,2330.525,40.156,5.559,322.654,7.353,426.724,59.844,24.133,3473.196,41.253,2394.221,1.098,63.726,214.42,3.695,5803.721,1078.975,18.591,3.886,225.559,3.658,212.272
Singapore,5850342,114,0.0750502554277203,2020,2.444,208.761,0.0,0.0,49.976,1.221,0.0,48.323,33.845,0.0,0.0,14.479,1.221,0.0,1.652,0.431,0.0,8259.915,96.694,67.722,5785.094,0.0,0.0,3.306,1.652,282.437,0.0,0.0,28.971,2474.822,208.761,2.444,8542.352,282.437,3.306,0.862,73.675,0.0,0.0
Denmark,5792202,115,0.0743044149536817,2020,17.56,880.663,14.609,732.661,29.049,5.101,4.244,6.33,1.055,0.015,0.0,1.032,5.101,0.0,22.719,1.237,16.365,1092.851,21.791,3.631,182.098,0.051,2.566,78.209,22.719,3922.268,0.0,0.0,3.551,178.091,880.663,17.56,5015.119,3922.268,78.209,4.259,213.615,56.338,2825.425
Finland,5540720,116,0.0710783149520965,2020,15.919,1938.057,5.104,621.445,67.457,10.738,3.443,10.546,3.822,15.19,23.226,3.281,10.738,0.0,33.686,0.09,7.667,1903.328,15.633,5.666,689.767,22.518,2741.553,84.367,56.911,10271.491,34.43,4191.837,4.863,592.117,1938.057,15.919,12174.819,6079.655,49.936,0.134,16.284,11.366,1383.761
Slovakia,5459642,118,0.070038217704864,2020,6.729,352.645,6.908,362.039,28.614,1.925,1.977,5.741,3.764,4.752,15.438,0.0,2.069,0.143,7.435,0.604,0.01,1051.475,20.062,13.155,689.435,16.608,870.416,79.938,22.874,4189.583,53.953,2827.731,0.0,0.0,378.904,7.23,5241.057,1361.851,25.984,2.112,110.708,0.035,1.824
Norway,5421241,119,0.0695455961010877,2020,0.402,106.409,0.0,0.0,143.62,0.577,0.0,1.742,1.657,131.878,0.0,0.085,0.666,0.089,141.878,0.013,9.321,321.369,1.213,1.154,305.674,91.824,24326.105,98.787,141.878,26170.772,0.0,0.0,0.059,15.695,122.904,0.464,26492.14,26170.772,98.787,0.009,2.398,6.49,1719.365
Costa Rica,5094118,122,0.0653491466103943,2020,1.294,29.362,0.0,0.0,11.56,0.15,0.0,0.018,0.0,8.202,0.0,0.018,1.795,1.645,11.542,0.076,1.469,3.598,0.159,0.0,0.0,70.95,1610.073,99.841,11.542,2265.706,0.0,0.0,0.159,3.598,352.345,15.527,2269.305,2265.706,99.841,0.656,14.893,12.709,288.395
Ireland,4937786,124,0.0633436644468684,2020,2.668,170.938,2.336,149.68,31.639,0.844,0.739,18.749,16.393,0.915,0.0,1.617,0.844,0.0,12.89,0.017,11.114,3797.094,59.26,51.814,3319.962,2.891,185.248,40.74,12.89,2610.388,0.0,0.0,5.11,327.452,170.938,2.668,6407.482,2610.388,40.74,0.053,3.373,35.128,2250.829
New Zealand,4822233,126,0.0618613097118052,2020,1.421,126.138,7.691,682.908,42.819,0.608,3.293,8.083,3.762,24.186,0.0,1.028,8.118,7.51,34.736,0.145,2.287,1676.096,18.876,8.785,780.097,56.485,5015.551,81.124,34.736,7203.368,0.0,0.0,2.4,213.091,1683.542,18.96,8879.464,7203.368,81.124,0.338,30.05,5.341,474.226
Croatia,4105267,130,0.0526638163972279,2020,6.862,212.67,9.742,301.931,12.724,0.873,1.24,4.572,3.289,5.576,0.0,0.043,0.931,0.058,8.152,0.08,1.565,1113.587,35.929,25.853,801.265,43.827,1358.367,64.071,8.152,1985.782,0.0,0.0,0.335,10.39,226.742,7.316,3099.369,1985.782,64.071,0.629,19.505,12.298,381.168
Uruguay,3473730,134,0.0445622364960774,2020,20.181,783.238,0.0,0.0,13.482,2.721,0.0,0.801,0.111,4.067,0.0,0.69,2.721,0.0,12.681,0.458,5.435,230.52,5.94,0.822,31.898,30.168,1170.825,94.06,12.681,3650.471,0.0,0.0,5.118,198.622,783.238,20.181,3880.991,3650.471,94.06,3.396,131.813,40.314,1564.595
Bosnia and Herzegovina,3280819,135,0.0420875059889008,2020,0.067,3.251,67.71,3278.29,15.885,0.011,10.755,10.755,0.0,4.853,0.0,0.0,0.011,0.0,5.129,0.03,0.236,3278.29,67.71,0.0,0.0,30.55,1479.124,32.29,5.129,1563.382,0.0,0.0,0.0,0.0,3.251,0.067,4841.672,1563.382,32.29,0.189,9.144,1.484,71.863
Mongolia,3278290,136,0.0420550630828319,2020,0.0,0.0,92.304,1860.727,6.609,0.0,6.1,6.1,0.0,0.093,0.0,0.0,0.0,0.0,0.509,0.04,0.376,1860.727,92.304,0.0,0.0,1.403,28.286,7.696,0.509,155.151,0.0,0.0,0.0,0.0,0.0,0.0,2015.878,155.151,7.696,0.605,12.201,5.688,114.663
Lithuania,2722289,142,0.0349224856936694,2020,13.467,207.41,0.0,0.0,4.193,0.565,0.0,1.78,1.599,0.25,0.0,0.181,0.565,0.0,2.412,0.085,1.513,653.976,42.462,38.136,587.357,5.973,91.99,57.538,2.412,886.168,0.0,0.0,4.326,66.619,207.41,13.467,1540.144,886.168,57.538,2.016,31.053,36.082,555.715
Slovenia,2078938,149,0.0266693516239553,2020,1.68,137.104,25.806,2105.789,16.964,0.285,4.378,4.988,0.597,5.067,6.329,0.013,0.285,0.0,5.648,0.289,0.006,2399.231,29.402,3.522,287.365,29.869,2437.302,70.598,11.976,5760.749,37.306,3044.122,0.074,6.077,137.104,1.68,8159.98,2716.626,33.292,1.706,139.222,0.037,2.998
Latvia,1886198,151,0.0241968147652317,2020,13.89,429.277,0.006,0.182,5.829,0.81,0.0,2.267,2.267,2.585,0.0,0.0,0.81,0.0,3.563,0.001,0.167,1201.84,38.887,38.881,1201.658,44.34,1370.357,61.113,3.563,1888.75,0.0,0.0,0.0,0.0,429.277,13.89,3090.59,1888.75,61.113,0.022,0.675,2.862,88.441
Estonia,1326535,155,0.0170172599454546,2020,20.665,994.903,0.0,0.0,6.387,1.32,0.0,4.138,0.053,0.001,0.0,4.085,1.32,0.0,2.249,0.04,0.889,3119.301,64.789,0.824,39.687,0.011,0.532,35.211,2.249,1695.232,0.0,0.0,63.965,3079.613,994.903,20.665,4814.532,1695.232,35.211,0.622,29.968,13.913,669.829
Cyprus,1207359,158,0.0154884280855643,2020,1.239,64.957,0.0,0.0,4.593,0.057,0.0,4.08,0.0,0.0,0.0,4.08,0.057,0.0,0.514,0.199,0.257,4657.652,88.814,0.0,0.0,0.0,0.0,11.186,0.514,586.653,0.0,0.0,88.814,4657.652,64.957,1.239,5244.305,586.653,11.186,4.343,227.758,5.605,293.938
Luxembourg,625978,169,0.0080302670838958,2020,22.719,347.301,0.0,0.0,0.957,0.217,0.0,0.272,0.195,0.093,0.0,0.077,0.217,0.0,0.684,0.12,0.255,435.245,28.471,20.406,311.946,9.695,148.213,71.529,0.684,1093.46,0.0,0.0,8.066,123.299,347.301,22.719,1528.706,1093.46,71.529,12.511,191.261,26.603,406.685
Malta,441543,175,0.0056642697012109,2020,0.456,20.275,0.0,0.0,1.962,0.009,0.0,1.763,1.745,0.0,0.0,0.018,0.009,0.0,0.199,0.19,0.0,3993.951,89.879,88.956,3952.949,0.0,0.0,10.121,0.199,449.759,0.0,0.0,0.923,41.002,20.275,0.456,4443.709,449.759,10.121,9.662,429.353,0.003,0.131
